Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness
BSDETH,ETH,RedStone Classic,Yes,Yes,86400,0.5,ChainlinkOracle,0xcb327b99ff831bf8223cced12b1338ff3aa322ff,0x4200000000000000000000000000000000000006,0xC49F0Dd98F38C525A7ce15E73E60675456F3a161,90000
USD+,USD,RedStone Classic,Yes,Yes,86400,0.2,ChainlinkOracle,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,0x0000000000000000000000000000000000000353,0xd9a66Ff1D660aD943F48e9c606D09eA672f312E8,90000
EUSD,USD,RedStone Classic,Yes,Yes,86400,0.5,ChainlinkOracle,0xcfa3ef56d303ae4faaba0592388f19d7c3399fb4,0x0000000000000000000000000000000000000353,0x9b2C948dbA5952A1f5Ab6fA16101c1392b8da1ab,90000
