Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness
cbETH,USD,Chronicle,Yes,Yes,1800,0.15,ChronicleOracle,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x0000000000000000000000000000000000000348,0x371A53bB4203Ad5D7e60e220BaC1876FF3Ddda5B,5400
ETH,USD,Chronicle,Yes,Yes,1800,0.15,ChronicleOracle,0x4200000000000000000000000000000000000006,0x0000000000000000000000000000000000000348,0x152598809FB59db55cA76f89a192Fb23555531D8,5400
hyUSD,USD,Chronicle,Yes,Yes,1800,0.15,ChronicleOracle,0xC73e76Aa9F14C1837CDB49bd028E8Ff5a0a71dAD,0x0000000000000000000000000000000000000348,0x834c4f996B8a6411AEC0f8a0cF6fAfd4423dBEe2,5400
RETH,USD,Chronicle,Yes,Yes,1800,0.15,ChronicleOracle,0xB6fe221Fe9EeF5aBa221c348bA20A1Bf5e73624c,0x0000000000000000000000000000000000000348,0x5239d6e5eDFAb2FC65450d4D895240bD021898Cd,5400
USDC,USD,Chronicle,Yes,Yes,1800,0.15,ChronicleOracle,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x0000000000000000000000000000000000000348,0xb440E51E834bb2b3fee1a4517a4DB17bbdF588c6,5400
WSTETH,ETH,Chronicle,Yes,Yes,1800,0.15,ChronicleOracle,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,0x4200000000000000000000000000000000000006,0x09672B2a62Db1cd4cCE379bdde5BF41931177A72,5400
WSTETH,USD,Chronicle,Yes,Yes,1800,0.15,ChronicleOracle,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,0x0000000000000000000000000000000000000348,0x02a0eA9F5000472D764293bC77622be6C6Cbc2f0,5400
cbBTC,USDC,Chronicle,Yes,No,1800,0.15,ChronicleOracle,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x4E9A425E26295A3243568E4dae19Dc6926672Eb2,5400
