Asset,Quote,Provider,Deploy,Whitelist,Class,base,quote,rate
USDM,USD,Fixed Rate,Yes,Yes,FixedRateOracle,0x59D9356E565Ab3A36dD77763Fc0d87fEaf85508C,0x0000000000000000000000000000000000000348,1000000000000000000
superOETHb,ETH,Fixed Rate,Yes,Yes,FixedRateOracle,0xDBFeFD2e8460a6Ee4955A68582F85708BAEA60A3,0x4200000000000000000000000000000000000006,1000000000000000000
