Asset,Quote,Provider,Deploy,Whitelist,Class,base,quote,rateProvider
rETH,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0xb6fe221fe9eef5aba221c348ba20a1bf5e73624c,0x4200000000000000000000000000000000000006,0x039f7205C2cBa4535C2575123Ac3D657263892c4
wUSD+,USD+,Rate Provider,Yes,No,RateProviderOracle,0xd95ca61CE9aAF2143E81Ef5462C0c2325172E028,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,0xe1b1e024f4Bc01Bdde23e891E081b76a1A914ddd
