Asset,Quote,Provider,Deploy,Whitelist,Class,pyth,base,quote,feedId,maxStaleness,maxConfWidth
WSTKSCETH,SCETH,Pyth,Yes,No,PythOracle,0x2880aB155794e7179c9eE2e38200202908C17B43,0xE8a41c62BB4d5863C6eadC96792cFE90A1f37C47,0x3bcE5CB273F0F148010BbEa2470e7b5df84C7812,0xb680422b70915df562e4802bd8679112ff0f6b0a29ec2c3762ae2720eda01e58,60,300
WSTKSCUSD,SCUSD,Pyth,Yes,No,PythOracle,0x2880aB155794e7179c9eE2e38200202908C17B43,0x9fb76f7ce5FCeAA2C42887ff441D46095E494206,0xd3DCe716f3eF535C5Ff8d041c1A41C3bd89b97aE,0xcaed0964240861da425cf03fae9737473f6f031fb80cbbd73c3fb8cddd7a2204,60,300
