Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness
STS_FUNDAMENTAL,S,RedStone Classic,Yes,No,21600,0.50,ChainlinkOracle,0xE5DA20F15420aD15DE0fa650600aFc998bbE3955,0x039e2fB66102314Ce7b64Ce5Ce3E5183bc94aD38,0x65d0F14f7809CdC4f90c3978c753C4671b6B815b,25200
SCETH_FUNDAMENTAL,ETH,RedStone Classic,Yes,No,21600,0.50,ChainlinkOracle,0x3bcE5CB273F0F148010BbEa2470e7b5df84C7812,0x50c42dEAcD8Fc9773493ED674b675bE577f2634b,0x24c8964338Deb5204B096039147B8e8C3AEa42Cc,25200
SCUSD_FUNDAMENTAL,USD,RedStone Classic,Yes,Yes,21600,0.50,ChainlinkOracle,0xd3DCe716f3eF535C5Ff8d041c1A41C3bd89b97aE,0x0000000000000000000000000000000000000348,0xb81131B6368b3F0a83af09dB4E39Ac23DA96C2Db,25200
