Asset,Quote,Provider,Deploy,Whitelist,Class,base,cross,quote,oracleBaseCross,oracleCrossQuote
WSTKSCUSD,USD,Cross,Yes,Yes,CrossAdapter,0x9fb76f7ce5FCeAA2C42887ff441D46095E494206,0xd3DCe716f3eF535C5Ff8d041c1A41C3bd89b97aE,0x0000000000000000000000000000000000000348,[Pyth_WSTKSCUSD/SCUSD],[RedstoneClassic_SCUSD_FUNDAMENTAL/USD]
STS,USD,Cross,Yes,Yes,CrossAdapter,0xE5DA20F15420aD15DE0fa650600aFc998bbE3955,0x039e2fB66102314Ce7b64Ce5Ce3E5183bc94aD38,0x0000000000000000000000000000000000000348,[RedstoneClassic_STS_FUNDAMENTAL/S],[Chainlink_S/USD]
SCETH,USD,Cross,Yes,Yes,CrossAdapter,0x3bcE5CB273F0F148010BbEa2470e7b5df84C7812,0x50c42dEAcD8Fc9773493ED674b675bE577f2634b,0x0000000000000000000000000000000000000348,[RedstoneClassic_SCETH_FUNDAMENTAL/ETH],[Chainlink_ETH/USD]
WSTKSCETH,ETH,Cross,Yes,Yes,CrossAdapter,0xE8a41c62BB4d5863C6eadC96792cFE90A1f37C47,0x3bcE5CB273F0F148010BbEa2470e7b5df84C7812,0x50c42dEAcD8Fc9773493ED674b675bE577f2634b,[Pyth_WSTKSCETH/SCETH],[RedstoneClassic_SCETH_FUNDAMENTAL/ETH]
WSTSKCETH,USD,Cross,Yes,Yes,CrossAdapter,0xE8a41c62BB4d5863C6eadC96792cFE90A1f37C47,0x50c42dEAcD8Fc9773493ED674b675bE577f2634b,0x0000000000000000000000000000000000000348,[Cross_WSTKSCETH/ETH=Pyth_WSTKSCETH/SCETH+RedstoneClassic_SCETH_FUNDAMENTAL/ETH],[Chainlink_ETH/USD]
OS,USD,Cross,Yes,Yes,CrossAdapter,0xb1e25689D55734FD3ffFc939c4C3Eb52DFf8A794,0x039e2fB66102314Ce7b64Ce5Ce3E5183bc94aD38,0x0000000000000000000000000000000000000348,[FixedRate_OS/S],[Chainlink_S/USD]
