Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness
S,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x039e2fB66102314Ce7b64Ce5Ce3E5183bc94aD38,0x0000000000000000000000000000000000000348,0xc76dFb89fF298145b417d221B2c747d84952e01d,90000
USDC,USD,Chainlink,Yes,Yes,86400,0.3,ChainlinkOracle,0x29219dd400f2Bf60E5a23d13Be72B486D4038894,0x0000000000000000000000000000000000000348,0x55bCa887199d5520B3Ce285D41e6dC10C08716C9,90000
ETH,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x50c42dEAcD8Fc9773493ED674b675bE577f2634b,0x0000000000000000000000000000000000000348,0x824364077993847f71293B24ccA8567c00c2de11,90000
