Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness
GMX,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,0x0000000000000000000000000000000000000348,0xDB98056FecFff59D032aB628337A4887110df3dB,90000
INETH,ETH_EXCHANGE_RATE,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x5A7a183B6B44Dc4EC2E3d2eF43F98C5152b1d76d,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x3C5C5329b028E674F7a124b18527B94BE74A66cF,90000
INSTETH,ETH_EXCHANGE_RATE,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xd08C3F25862077056cb1b710937576Af899a4959,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x4050bD8263771f8BBded08C299BD944488a91AaD,90000
LINK,ETH,Chainlink,Yes,Yes,86400,5,ChainlinkOracle,0xf97f4df75117a78c1A5a0DBb814Af92458539FB4,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xb7c8Fb1dB45007F98A68Da0588e1AA524C317f27,90000
LINK,USD,Chainlink,Yes,Yes,3600,0.2,ChainlinkOracle,0xf97f4df75117a78c1A5a0DBb814Af92458539FB4,0x0000000000000000000000000000000000000348,0x86E53CF1B870786351Da77A57575e79CB55812CB,7200
OSETH,ETH_EXCHANGE_RATE,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xf7d4e7273E5015C96728A6b02f31C505eE184603,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xB4102D5E72c402D537C9f024F4bd9c3709FE200d,90000
PENDLE,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x0c880f6761F1af8d9Aa9C466984b80DAb9a8c9e8,0x0000000000000000000000000000000000000348,0x66853E19d73c0F9301fe099c324A1E9726953433,90000
RDNT,USD,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x3082CC23568eA640225c2467653dB90e9250AaA0,0x0000000000000000000000000000000000000348,0x20d0Fcab0ECFD078B036b6CAf1FaC69A6453b352,90000
RETH,ETH,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xEC70Dcb4A1EFa46b8F2D97C310C9c4790ba5ffA8,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xD6aB2298946840262FcC278fF31516D39fF611eF,90000
RETH,ETH_EXCHANGE_RATE,Chainlink,Yes,Yes,86400,0.2,ChainlinkOracle,0xEC70Dcb4A1EFa46b8F2D97C310C9c4790ba5ffA8,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xF3272CAfe65b190e76caAF483db13424a3e23dD2,90000
