Asset,Quote,Provider,Deploy,Whitelist,Class,base,quote,rate
FRXETH,ETH,Fixed Rate,Yes,Yes,FixedRateOracle,0x5E8422345238F34275888049021821E8E08CAa1f,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,1000000000000000000
STETH,ETH,Fixed Rate,Yes,No,FixedRateOracle,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,1000000000000000000
