Asset,Quote,Provider,Deploy,Whitelist,Class,base,quote,rateProvider
RETH,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0xEC70Dcb4A1EFa46b8F2D97C310C9c4790ba5ffA8,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xd4E96eF8eee8678dBFf4d535E033Ed1a4F7605b7
EZETH,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xf25484650484DE3d554fB0b7125e7696efA4ab99
OSETH,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0xf7d4e7273E5015C96728A6b02f31C505eE184603,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xBA74737A078C05500dD98C970909e4A3b90c35C6
RSETH,ETH,Rate Provider,Yes,Yes,RateProviderOracle,0x4186BFC76E2E237523CBC30FD220FE055156b41F,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x3222d3De5A9a3aB884751828903044CC4ADC627e
WUSDM,USDM,Rate Provider,Yes,No,RateProviderOracle,0x57F5E098CaD7A3D1Eed53991D4d66C45C9AF7812 ,0x59D9356E565Ab3A36dD77763Fc0d87fEaf85508C ,0x7F55E509006C9Df7594C4819Ba7ebfE6EfE4854b
WUSD+,USD+,Rate Provider,Yes,No,RateProviderOracle,0xB86fb1047A955C0186c77ff6263819b37B32440D ,0xe80772Eaf6e2E18B651F160Bc9158b2A5caFCA65 ,0x2bA447d4B823338435057571bF70907F8224BB47
