Vault,Governor,Whitelist
0xaAc212446EF7EA7bbFa85681aE4848bCB96a90E2,Euler 2p AUSD-eUSD,No
0xd4A6B137251E77d3d4eE1826016DA4B1FFa00EA3,Euler 2p AUSD-eUSD,No
0x1667c811e392F33BC6C48b88d15cFA28A05E5563,Euler 2p USDC-eUSD,No
0x80Ad83C9067b49547ab5dB6cAF4f1e3ae34892b1,Euler 2p USDC-eUSD,No
0x240FcAFffF24AAa39e420B6F70ED5519847648b4,Euler 2p WBTC-AUSD,Yes
0x8f47D9D9d5A8202a5a37c4E41fbDd3146D88A579,Euler 2p WBTC-AUSD,Yes
0x52A59afAF5CB7CB09F94056fD631688D659A33B6,Euler 2p WBTC-USDC,Yes
0xF19E8Ddc541dEE2F4D6796a79b1C1E10A415a0Da,Euler 2p WBTC-USDC,Yes
0x88927d35e37286805f343dC449b750F431E70a20,Euler 2p WBTC-USDT,Yes
0x8f79f6EE218826D5144b917f901B147D4354Bd74,Euler 2p WBTC-USDT,Yes
0x1874f82AC9EF2Bd5603Cc946Cb6f3bCB9Dd2d66F,Euler 2p LBTC-AUSD,Yes
0x0709be7Bb77b25E398CcFD518770c0BAE31a38Df,Euler 2p LBTC-AUSD,Yes
0xbC5fd2cA51B0BCA8882246833B2ea8627A79bC59,Euler 2p LBTC-USDC,Yes
0xf62C7CD4f71434f7C4d12A1142133d4Ed4aBaEc4,Euler 2p LBTC-USDC,Yes
0xDb53E5C7578cFB52E72728c89BA895692e49Aa45,Euler 2p LBTC-USDT,Yes
0x225e145C65031D39C3d9c58bDdAef47F8d9FaEc5,Euler 2p LBTC-USDT,Yes
0xd505ccE10571C1d07dd40D2D9001BEf22CDF0D71,Euler 2p XAUT-AUSD,Yes
0x048e7f7857c5297Cd7623244bbb4Fae65936996a,Euler 2p XAUT-AUSD,Yes
0x091298D908a216CfcA30729dB2B194Fe5f1d16be,Euler 2p XAUT-USDC,Yes
0x289F801765B99B5E6263853859fE302dbecaB6d6,Euler 2p XAUT-USDC,Yes
0x234d354b39a4Ca1274CB04972D3A9e03f1d8C4FF,Euler 2p XAUT-USDT,Yes
0x50fe3eAc875Afbf5A121F2f792fFb7F9fb27629f,Euler 2p XAUT-USDT,Yes
0x870E172C3C7Ea274Ce60fB8D19D86012edc3C043,Euler 3p wstETH-WETH-AUSD,Yes
0x8c75A7177D64167E6EbC65A1D25d03CbF726fc46,Euler 3p wstETH-WETH-AUSD,Yes
0xb72E0659417bbB1eA55869Ab2f81cb41e751938f,Euler 3p wstETH-WETH-AUSD,Yes
0x1E4D67c666c2Ccf27A0aF980fE6c8e0f05aC8949,Euler 3p wstETH-WETH-USDC,Yes
0x502e4a0B61dEBA3015Eb9E51116B832003B22c2C,Euler 3p wstETH-WETH-USDC,Yes
0x61788859B923989dFeb995b8DE5CbBcD719475e9,Euler 3p wstETH-WETH-USDC,Yes
0x1eD6703bd9dD1a82979100D21910F17B074c8293,Euler 3p wstETH-WETH-USDT,Yes
0xf048977215c8efD805f2d48B1d45304742D6aB58,Euler 3p wstETH-WETH-USDT,Yes
0x57C5dfF5dDb1289c21Cc752a05330a12e3542578,Euler 3p wstETH-WETH-USDT,Yes
0xd2f35c39A7187BBF55c0b05C52808d7A18eD62Ca,Euler 3p gMON-WMON-AUSD,Yes
0x94A169ad76f75E32b5E4E716A0CAcfA28a619B66,Euler 3p gMON-WMON-AUSD,Yes
0xD5fF5152eDBD0d921bbfF5EEf84dDa95c6c5A108,Euler 3p gMON-WMON-AUSD,Yes
0xb181030fF0767c24D83c65527BD42146486F415E,Euler 3p gMON-WMON-USDC,Yes
0x5E1534Af364De6f789B67dAB52aBDC154AB48757,Euler 3p gMON-WMON-USDC,Yes
0xF2acB868eaf64ef36BC0D3B4BA93aF00fC3167cF,Euler 3p gMON-WMON-USDC,Yes
0x9020DbCA5a8CCfaB6116123e308204a44A5b93D4,Euler 3p gMON-WMON-USDT,Yes
0x850DaFb683743076F65d62D95e36EC9d04FB4B23,Euler 3p gMON-WMON-USDT,Yes
0xEe3EAEC5B3860aD40a767594f0990a74a32329e8,Euler 3p gMON-WMON-USDT,Yes
0x6661a2b4008b70f22Ff84c2134ac6F51534E162d,Euler 3p shMON-WMON-AUSD,Yes
0x28bD4F19C812CBF9e33A206f87125f14E65dc8aA,Euler 3p shMON-WMON-AUSD,Yes
0x6E06ce28a6C28bffa274Ead5cb715992033E351A,Euler 3p shMON-WMON-AUSD,Yes
0xb6A4db1FeF7831F65827d9aF2Cb1e69F764eC123,Euler 3p shMON-WMON-USDC,Yes
0x7B4BcAEAC5Eb67ae947903F24BBa660eE06A5231,Euler 3p shMON-WMON-USDC,Yes
0x5792753b66Eb5213E416755546abBcC1AEF1008A,Euler 3p shMON-WMON-USDC,Yes
0x3Bcc41c9510A4B601bfBfa6dA8d933d50fd175E8,Euler 3p shMON-WMON-USDT,Yes
0x87760787d770BC9f039843fEc7636f3B8Dd12206,Euler 3p shMON-WMON-USDT,Yes
0x2178894927657Fd5A464ce082e0b514CEb12720c,Euler 3p shMON-WMON-USDT,Yes
0xA8f093Cfb04a536Dbc6aa9BB94A2D617305a48F3,Euler 3p sMON-WMON-AUSD,Yes
0x9eA1b948186F9A8cfe375278d96363103f4fa42B,Euler 3p sMON-WMON-AUSD,Yes
0x3fE40329061A40f95416da42bB69E15d8eb83740,Euler 3p sMON-WMON-AUSD,Yes
0xDDffd6801a86b598077aDdda04F70aF08b6f8807,Euler 3p sMON-WMON-USDC,Yes
0x9109529c3a2EB36DE0AC3837baeA74044863C60a,Euler 3p sMON-WMON-USDC,Yes
0x36d0f0A4cB615C200310aE2c5b5D345189d01197,Euler 3p sMON-WMON-USDC,Yes
0x994D141557dC6abB13Afd374dDC0224C0e7eF478,Euler 3p sMON-WMON-USDT,Yes
0xce67457A858dA99Bf19FF22d595cd60808F2E77d,Euler 3p sMON-WMON-USDT,Yes
0x9190269F87BD30f0eB94dc3D6369b42A1A27eEfa,Euler 3p sMON-WMON-USDT,Yes
