Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness,,,,,,,Asset class
mTBILL,USD,Chainlink Infrequent,Yes,No,31536000,-,ChainlinkInfrequentOracle,0xDD629E5241CbC5919847783e6C96B2De4754e438,0x0000000000000000000000000000000000000348,0x056339C044055819E8Db84E71f5f2E1F536b2E5b,31536000,,,,,,,Crypto
mBTC,BTC,Chainlink Infrequent,Yes,No,31536000,-,ChainlinkInfrequentOracle,0x007115416AB6c266329a03B09a8aa39aC2eF7d9d,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,0xA537EF0343e83761ED42B8E017a1e495c9a189Ee,31536000,,,,,,,Crypto
ETH+,USD,Chainlink Infrequent,Yes,No,31536000000000,-,ChainlinkInfrequentOracle,0xE72B141DF173b999AE7c1aDcbF60Cc9833Ce56a8,0x0000000000000000000000000000000000000348,0xf87d2F4d42856f0B6Eae140Aaf78bF0F777e9936,31536000000000,,,,,,,Crypto
mBASIS,USD,Chainlink Infrequent,Yes,No,31536000,-,ChainlinkInfrequentOracle,0x2a8c22E3b10036f3AEF5875d04f8441d4188b656,0x0000000000000000000000000000000000000348,0xE4f2AE539442e1D3Fb40F03ceEbF4A372a390d24,31536000,,,,,,,Crypto
RLP,USD,Chainlink Infrequent,Yes,No,31536000,-,ChainlinkInfrequentOracle,0x4956b52aE2fF65D74CA2d61207523288e4528f96,0x0000000000000000000000000000000000000348,0xAdb2c15Fde49D1A4294740aCb650de94184E66b2,31536000,,,,,,,Crypto
