Asset,Quote,Provider,Deploy,Whitelist,Class,base,quote,feedIdString,feedDecimals,maxStaleness
USDe,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,0x0000000000000000000000000000000000000348,USDe,8,120
sUSDe,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0x9d39a5de30e57443bff2a8307a4256c8797a3497,0x0000000000000000000000000000000000000348,sUSDe,8,120
USDB,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,USDB,8,120
USDB,USD_TWAP_60,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,USDB-TWAP-30,8,120
rswETH,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xFAe103DC9cf190eD75350761e95403b7b8aFa6c0,0x0000000000000000000000000000000000000348,rswETH,8,120
rswETH,ETH,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xFAe103DC9cf190eD75350761e95403b7b8aFa6c0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,rswETH/ETH,8,120
sUSDe,RATE_PROVIDER,RedStone Core,No,No,RedstoneCoreOracle,0x9d39a5de30e57443bff2a8307a4256c8797a3497,N/A,sUSDe_RATE_PROVIDER,8,120
pufETH,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xD9A442856C234a39a81a089C06451EBAa4306a72,0x0000000000000000000000000000000000000348,pufETH,8,120
pufETH,ETH,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xD9A442856C234a39a81a089C06451EBAa4306a72,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,pufETH/ETH,8,120
LDO,USD,RedStone Core,Yes,Yes,RedstoneCoreOracle,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0x0000000000000000000000000000000000000348,LDO,8,120
MODE,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,MODE,8,120
rsETH,ETH_FUNDAMENTAL,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,rsETH_FUNDAMENTAL,8,120
rswETH,ETH_FUNDAMENTAL,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xFAe103DC9cf190eD75350761e95403b7b8aFa6c0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,rswETH_FUNDAMENTAL,8,120
pufETH,ETH_FUNDAMENTAL,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xD9A442856C234a39a81a089C06451EBAa4306a72,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,pufETH_FUNDAMENTAL,8,120
ezETH,ETH_FUNDAMENTAL,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ezETH_FUNDAMENTAL,8,120
MERL,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,MERL,8,120
SolvBTC_MERLIN,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,SolvBTC_MERLIN,8,120
SolvBTC_MERLIN,BTC,RedStone Core,No,No,RedstoneCoreOracle,N/A,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,SolvBTC_MERLIN/BTC,8,120
SolvBTC_MERLIN,BTC_TWAP_60,RedStone Core,No,No,RedstoneCoreOracle,N/A,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,SolvBTC_MERLIN/BTC-TWAP-60,8,120
KES,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,KES,8,120
PHP,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,PHP,8,120
COP,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,COP,8,120
INR,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,INR,8,120
bsdETH,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,bsdETH,8,120
bsdETH,ETH,RedStone Core,No,No,RedstoneCoreOracle,N/A,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,bsdETH/ETH,8,120
ZK,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,ZK,8,120
USD+,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,USD+,8,120
SolvBTC_BNB,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,SolvBTC_BNB,8,120
SolvBTC_BNB,BTC,RedStone Core,No,No,RedstoneCoreOracle,N/A,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,SolvBTC_BNB/BTC,8,120
SolvBTC_BNB,BTC_TWAP_60,RedStone Core,No,No,RedstoneCoreOracle,N/A,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,SolvBTC_BNB/BTC-TWAP-60,8,120
AR,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,AR,8,120
SolvBTC.ENA,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,SolvBTC.ENA,8,120
SolvBTC.ENA,BTC,RedStone Core,No,No,RedstoneCoreOracle,N/A,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,SolvBTC.ENA/BTC,8,120
SolvBTC.ENA,BTC_TWAP_60,RedStone Core,No,No,RedstoneCoreOracle,N/A,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,SolvBTC.ENA/BTC-TWAP-60,8,120
SEI,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,SEI,8,120
ZKL,USD,RedStone Core,No,No,RedstoneCoreOracle,0xfc385a1df85660a7e041423db512f779070fcede,0x0000000000000000000000000000000000000348,ZKL,8,120
mETH,ETH_FUNDAMENTAL,RedStone Core,Yes,Yes,RedstoneCoreOracle,0xd5F7838F5C461fefF7FE49ea5ebaF7728bB0ADfa,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,mETH_FUNDAMENTAL,8,120
ISEI,USD,RedStone Core,No,No,RedstoneCoreOracle,N/A,0x0000000000000000000000000000000000000348,ISEI,8,120
