Asset,Quote,Provider,Deploy,Whitelist,Class,pendleOracle,pendleMarket,base,quote,twapWindow
PT-srUSDe-15JAN2026,USD,PendleUniversal,Yes,Yes,PendleUniversalOracle,0x9a9Fa8338dd5E5B2188006f1Cd2Ef26d921650C2,0xa83174F1dD8475378abCa9d676DaD3cE97409E0a,0x1fb3c5c35d95f48e48ffc8e36bcce5cb5f29f57c,0x0000000000000000000000000000000000000348,900
PT-jrUSDe-15JAN2026,USD,PendleUniversal,Yes,Yes,PendleUniversalOracle,0x9a9Fa8338dd5E5B2188006f1Cd2Ef26d921650C2,0x41264F35ef7eF8c4905ca98052E8D7480F12859e,0x53f3373f0d811902405f91eb0d5cc3957887220d,0x0000000000000000000000000000000000000348,900
PT-srUSDe-15JAN2026,USDe,PendleUniversal,Yes,Yes,PendleUniversalOracle,0x9a9Fa8338dd5E5B2188006f1Cd2Ef26d921650C2,0xa83174F1dD8475378abCa9d676DaD3cE97409E0a,0x1fb3c5c35d95f48e48ffc8e36bcce5cb5f29f57c,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,900
PT-jrUSDe-15JAN2026,USDe,PendleUniversal,Yes,Yes,PendleUniversalOracle,0x9a9Fa8338dd5E5B2188006f1Cd2Ef26d921650C2,0x41264F35ef7eF8c4905ca98052E8D7480F12859e,0x53f3373f0d811902405f91eb0d5cc3957887220d,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,900
PT-mEDGE-29JAN2026,USD,PendleUniversal,Yes,Yes,PendleUniversalOracle,0x9a9Fa8338dd5E5B2188006f1Cd2Ef26d921650C2,0xaf5669e4ed9a999667cd2b810878022cf54866d1,0x9a34eb848c06d438d8747060a383dd13cff33317,0x0000000000000000000000000000000000000348,900
