Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness,,,,,,,Asset class
CRV,USD,Chainlink,Yes,Yes,86400,1.00%,ChainlinkOracle,0xD533a949740bb3306d119CC777fa900bA034cd52,0x0000000000000000000000000000000000000348,0xCd627aA160A6fA45Eb793D19Ef54f5062F20f33f,90000,,,,,,,Crypto
CRVUSD,USD,Chainlink,Yes,Yes,86400,0.50%,ChainlinkOracle,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,0x0000000000000000000000000000000000000348,0xEEf0C605546958c1f899b6fB336C20671f9cD49F,90000,,,,,,,Crypto
CVX,ETH,Chainlink,Yes,Yes,86400,2.00%,ChainlinkOracle,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xC9CbF687f43176B302F03f5e58470b77D07c61c6,90000,,,,,,,Crypto
CVX,USD,Chainlink,Yes,Yes,86400,2.00%,ChainlinkOracle,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,0x0000000000000000000000000000000000000348,0xd962fC30A72A84cE50161031391756Bf2876Af5D,90000,,,,,,,Crypto
DAI,ETH,Chainlink,Yes,Yes,86400,1.00%,ChainlinkOracle,0x6b175474e89094c44da98b954eedeac495271d0f,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x773616E4d11A78F511299002da57A0a94577F1f4,90000,,,,,,,Crypto
DAI,USD,Chainlink,Yes,Yes,3600,0.25%,ChainlinkOracle,0x6b175474e89094c44da98b954eedeac495271d0f,0x0000000000000000000000000000000000000348,0xAed0c38402a5d19df6E4c03F4E2DceD6e29c1ee9,7200,,,,,,,Crypto
ENJ,ETH,Chainlink,No,No,86400,2.00%,ChainlinkOracle,0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x24D9aB51950F3d62E9144fdC2f3135DAA6Ce8D1B,90000,,,,,,,Crypto
ENS,USD,Chainlink,Yes,Yes,86400,2.00%,ChainlinkOracle,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,0x0000000000000000000000000000000000000348,0x5C00128d4d1c2F4f652C267d7bcdD7aC99C16E16,90000,,,,,,,Crypto
ETH,BTC,Chainlink,Yes,No,3600,0.50%,ChainlinkOracle,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,0xAc559F25B1619171CbC396a50854A3240b6A4e99,7200,,,,,,,Crypto
ETH,USD,Chainlink,Yes,Yes,3600,0.50%,ChainlinkOracle,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0000000000000000000000000000000000000348,0x5f4eC3Df9cbd43714FE2740f5E3616155c5b8419,7200,,,,,,,Crypto
ETHx,ETH,Chainlink,Yes,Yes,86400,0.50%,ChainlinkOracle,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xC5f8c4aB091Be1A899214c0C3636ca33DcA0C547,90000,,,,,,,Crypto
EUR,USD,Chainlink,Yes,No,86400,0.15%,ChainlinkOracle,0x00000000000000000000000000000000000003d2,0x0000000000000000000000000000000000000348,0xb49f677943BC038e9857d61E7d053CaA2C1734C1,90000,,,,,,,
ezETH,ETH,Chainlink,Yes,Yes,86400,0.50%,ChainlinkOracle,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x636A000262F6aA9e1F094ABF0aD8f645C44f641C,90000,,,,,,,Crypto
FDUSD,USD,Chainlink,No,No,86400,0.30%,ChainlinkOracle,0xc5f0f7b66764F6ec8C8Dff7BA683102295E16409,0x0000000000000000000000000000000000000348,0xfAA9147190c2C2cc5B8387B4f49016bDB3380572,90000,,,,,,,Crypto
FIL,ETH,Chainlink,No,No,86400,2.00%,ChainlinkOracle,N/A,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0606Be69451B1C9861Ac6b3626b99093b713E801,90000,,,,,,,Crypto
FRAX,ETH,Chainlink,Yes,Yes,86400,2.00%,ChainlinkOracle,0x853d955aCEf822Db058eb8505911ED77F175b99e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x14d04Fff8D21bd62987a5cE9ce543d2F1edF5D3E,90000,,,,,,,Crypto
FRAX,USD,Chainlink,Yes,Yes,3600,1.00%,ChainlinkOracle,0x853d955aCEf822Db058eb8505911ED77F175b99e,0x0000000000000000000000000000000000000348,0xB9E1E3A9feFf48998E45Fa90847ed4D467E8BcfD,7200,,,,,,,Crypto
FTM,ETH,Chainlink,No,No,86400,3.00%,ChainlinkOracle,0x853d955aCEf822Db058eb8505911ED77F175b99e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x2DE7E4a9488488e0058B95854CC2f7955B35dC9b,90000,,,,,,,Crypto
FTT,ETH,Chainlink,No,No,86400,2.00%,ChainlinkOracle,0x50D1c9771902476076eCFc8B2A83Ad6b9355a4c9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xF0985f7E2CaBFf22CecC5a71282a89582c382EFE,90000,,,,,,,Crypto
FXS,USD,Chainlink,Yes,Yes,86400,2.00%,ChainlinkOracle,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,0x0000000000000000000000000000000000000348,0x6Ebc52C8C1089be9eB3945C4350B68B8E4C2233f,90000,,,,,,,Crypto
GHO,USD,Chainlink,Yes,Yes,86400,0.50%,ChainlinkOracle,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,0x0000000000000000000000000000000000000348,0x3f12643D3f6f874d39C2a4c9f2Cd6f2DbAC877FC,90000,,,,,,,Crypto
GRT,ETH,Chainlink,Yes,Yes,3600,2.00%,ChainlinkOracle,0xc944E90C64B2c07662A292be6244BDf05Cda44a7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x17D054eCac33D91F7340645341eFB5DE9009F1C1,7200,,,,,,,Crypto
GRT,USD,Chainlink,Yes,Yes,86400,2.00%,ChainlinkOracle,0xc944E90C64B2c07662A292be6244BDf05Cda44a7,0x0000000000000000000000000000000000000348,0x86cF33a451dE9dc61a2862FD94FF4ad4Bd65A5d2,90000,,,,,,,Crypto
HIGH,USD,Chainlink,No,No,86400,2.00%,ChainlinkOracle,0x71Ab77b7dbB4fa7e017BC15090b2163221420282,0x0000000000000000000000000000000000000348,0x5C8D8AaB4ffa4652753Df94f299330Bb4479bF85,90000,,,,,,,Crypto
IMX,USD,Chainlink,No,No,86400,2.00%,ChainlinkOracle,0xF57e7e7C23978C3cAEC3C3548E3D615c346e79fF,0x0000000000000000000000000000000000000348,0xBAEbEFc1D023c0feCcc047Bff42E75F15Ff213E6,90000,,,,,,,Crypto
KNC,ETH,Chainlink,No,No,86400,2.00%,ChainlinkOracle,0xdeFA4e8a7bcBA345F687a2f1456F5Edd9CE97202,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x656c0544eF4C98A6a98491833A89204Abb045d6b,90000,,,,,,,Crypto
KNC,USD,Chainlink,No,No,86400,1.00%,ChainlinkOracle,0xdeFA4e8a7bcBA345F687a2f1456F5Edd9CE97202,0x0000000000000000000000000000000000000348,0xf8fF43E991A81e6eC886a3D281A2C6cC19aE70Fc,90000,,,,,,,Crypto
LDO,ETH,Chainlink,Yes,Yes,86400,2.00%,ChainlinkOracle,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x4e844125952D32AcdF339BE976c98E22F6F318dB,90000,,,,,,,Crypto
LINK,ETH,Chainlink,Yes,Yes,21600,1.00%,ChainlinkOracle,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xDC530D9457755926550b59e8ECcdaE7624181557,25200,,,,,,,Crypto
LINK,USD,Chainlink,Yes,Yes,3600,1.00%,ChainlinkOracle,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x0000000000000000000000000000000000000348,0x2c1d072e956AFFC0D435Cb7AC38EF18d24d9127c,7200,,,,,,,Crypto
LUSD,USD,Chainlink,Yes,Yes,3600,1.00%,ChainlinkOracle,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0x0000000000000000000000000000000000000348,0x3D7aE7E594f2f2091Ad8798313450130d0Aba3a0,7200,,,,,,,Crypto
MANA,ETH,Chainlink,No,No,86400,2.00%,ChainlinkOracle,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x82A44D92D6c329826dc557c5E1Be6ebeC5D5FeB9,90000,,,,,,,Crypto
MATIC,USD,Chainlink,No,No,3600,1.00%,ChainlinkOracle,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,0x0000000000000000000000000000000000000348,0x7bAC85A8a13A4BcD8abb3eB7d6b4d632c5a57676,7200,,,,,,,Crypto
MAVIA,USD,Chainlink,No,No,86400,2.00%,ChainlinkOracle,0x24fcFC492C1393274B6bcd568ac9e225BEc93584,0x0000000000000000000000000000000000000348,0x29d26C008e8f201eD0D864b1Fd9392D29d0C8e96,90000,,,,,,,Crypto
mETH,ETH,Chainlink,Yes,Yes,86400,0.50%,ChainlinkOracle,0xd5F7838F5C461fefF7FE49ea5ebaF7728bB0ADfa,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x5b563107C8666d2142C216114228443B94152362,90000,,,,,,,Crypto
MKR,ETH,Chainlink,Yes,Yes,86400,1.00%,ChainlinkOracle,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x24551a8Fb2A7211A25a17B1481f043A8a8adC7f2,90000,,,,,,,Crypto
MKR,USD,Chainlink,Yes,Yes,3600,1.00%,ChainlinkOracle,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,0x0000000000000000000000000000000000000348,0xec1D1B3b0443256cc3860e24a46F108e699484Aa,7200,,,,,,,Crypto
