Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness,,,,,,,Asset class
USDV,USD,Chainlink,No,No,86400,1.00%,ChainlinkOracle,0x0e573ce2736dd9637a0b21058352e1667925c7a8,0x0000000000000000000000000000000000000348,0x925B831EB4c9fFA7e384254fb2cd508c65FAe3FE,90000,,,,,,,Crypto
WBTC,BTC,Chainlink,Yes,No,86400,2.00%,ChainlinkOracle,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,0xfdFD9C85aD200c506Cf9e21F1FD8dd01932FBB23,90000,,,,,,,Crypto
weETH,ETH,Chainlink,Yes,Yes,86400,0.50%,ChainlinkOracle,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x5c9C449BbC9a6075A2c061dF312a35fd1E05fF22,90000,,,,,,,Crypto
XCN,USD,Chainlink,No,No,86400,2.00%,ChainlinkOracle,0xA2cd3D43c775978A96BdBf12d733D5A1ED94fb18,0x0000000000000000000000000000000000000348,0xeb988B77b94C186053282BfcD8B7ED55142D3cAB,90000,,,,,,,Crypto
YFI,ETH,Chainlink,Yes,Yes,86400,1.00%,ChainlinkOracle,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x7c5d4F8345e66f68099581Db340cd65B078C41f4,90000,,,,,,,Crypto
YFI,USD,Chainlink,Yes,Yes,3600,1.00%,ChainlinkOracle,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0x0000000000000000000000000000000000000348,0xA027702dbb89fbd58938e4324ac03B58d812b0E1,7200,,,,,,,Crypto
ZRX,ETH,Chainlink,No,No,86400,2.00%,ChainlinkOracle,0xE41d2489571d322189246DaFA5ebDe1F4699F498,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x2Da4983a622a8498bb1a21FaE9D8F6C664939962,90000,,,,,,,Crypto
ZRX,USD,Chainlink,No,No,3600,1.00%,ChainlinkOracle,0xE41d2489571d322189246DaFA5ebDe1F4699F498,0x0000000000000000000000000000000000000348,0x2885d15b8Af22648b98B122b22FDF4D2a56c6023,7200,,,,,,,Crypto
USD0,USD,Chainlink,Yes,Yes,86400,0.50%,ChainlinkOracle,0x73A15FeD60Bf67631dC6cd7Bc5B6e8da8190aCF5,0x0000000000000000000000000000000000000348,0x7e891DEbD8FA0A4Cf6BE58Ddff5a8ca174FebDCB,90000,,,,,,,Crypto
cbBTC,USD,Chainlink,Yes,Yes,86400,2.00%,ChainlinkOracle,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,0x0000000000000000000000000000000000000348,0x2665701293fCbEB223D11A08D826563EDcCE423A,90000,,,,,,,Crypto
USDM,USD,Chainlink,Yes,Yes,86400,0.50%,ChainlinkOracle,0x59D9356E565Ab3A36dD77763Fc0d87fEaf85508C,0x0000000000000000000000000000000000000348,0x079674468Fee6ab45aBfE986737A440701c49BdB,90000,,,,,,,Crypto
TRY,USD,Chainlink,Yes,No,86400,0.50%,ChainlinkOracle,0x00000000000000000000000000000000000003B5,0x0000000000000000000000000000000000000348,0xB09fC5fD3f11Cf9eb5E1C5Dba43114e3C9f477b5,90000,,,,,,,Crypto
LBTC,BTC,Chainlink,Yes,No,86400,0.50%,ChainlinkOracle,0x8236a87084f8B84306f72007F36F2618A5634494,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,0x5c29868C58b6e15e2b962943278969Ab6a7D3212,90000,,,,,,,Crypto
SolvBTC,BTC,Chainlink,Yes,Yes,86400,1.00,ChainlinkOracle,0x7A56E1C57C7475CCf742a1832B028F0456652F97,0xbBbBBBBbbBBBbbbBbbBbbbbBBbBbbbbBbBbbBBbB,0x936B31C428C29713343E05D631e69304f5cF5f49,90000
