Asset,Quote,Provider,Deploy,Whitelist,Class,,,,,,,,,Asset class
wstETH,STETH,Lido,Yes,Yes,LidoOracle,,,,,,,,,Crypto
wstETH,ETH,Lido Fundamental,Yes,Yes,LidoFundamentalOracle,,,,,,,,,Crypto
