Asset,Quote,Provider,Deploy,Whitelist,Heartbeat,Deviation %,Class,base,quote,feed,maxStaleness
ETHx,ETH,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xB4AC4078DDA43d0eB6Bb9e08b8C12A73f9FEAA7d,90000
ETHx,ETH (EXCHANGE RATE),Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x1f5C0C2CD2e9Ad1eE475660AF0bBa27aE7d87f5e,90000
EURC,USD,Chainlink,No,No,86400,0.3,ChainlinkOracle,0x1aBaEA1f7C830bD89Acc67eC4af516284b1bC33c,0x0000000000000000000000000000000000000348,0xDdE3523b6654F4fE9Ce890A660b6f9679D5Ee6eA,90000
ezETH,ETH,Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x11E1836bFF2ce9d6A5bec9cA79dc998210f3886d,90000
ezETH,ETH (EXCHANGE RATE),Chainlink,Yes,Yes,21600,0.5,ChainlinkOracle,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x989a480b6054389075CBCdC385C18CfB6FC08186,25200
FRAX,USD,Chainlink,Yes,Yes,86400,0.3,ChainlinkOracle,0x853d955aCEf822Db058eb8505911ED77F175b99e,0x0000000000000000000000000000000000000348,0x0809E3d38d1B4214958faf06D8b1B1a2b73f2ab8,90000
frxETH,ETH (EXCHANGE RATE HIGH),Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x178412e79c25968a32e89b11f63B33F733770c2A,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x5C3e80763862CB777Aa07BDDBcCE0123104e1c34,90000
frxETH,ETH (EXCHANGE RATE LOW),Chainlink,Yes,Yes,86400,0.5,ChainlinkOracle,0x178412e79c25968a32e89b11f63B33F733770c2A,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x1bD872f3A606471787B1a304cE0356e4e87Af930,90000
FTM,USD,Chainlink,No,No,86400,0.5,ChainlinkOracle,0x4E15361FD6b4BB609Fa63C81A2be19d873717870,0x0000000000000000000000000000000000000348,0xFeaC1A3936514746e70170c0f539e70b23d36F19,90000
FXS,USD,Chainlink,Yes,Yes,3600,0.5,ChainlinkOracle,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,0x0000000000000000000000000000000000000348,0x36a121448D74Fa81450c992A1a44B9b7377CD3a5,7200
